"id","dishSoapNoPrice","dishSoapWithPrice","coffeeNoPrice","coffeeWithPrice","handSoapNoPrice","handSoapWithPrice","toiletPaperNoPrice","toiletPaperWithPrice","laundryNoPrice","laundryWithPrice","cleaningSprayNoPrice","cleaningSprayWithPrice","juiceNoPrice","juiceWithPrice","riceNoPrice","riceWithPrice","toothpasteNoPrice","toothpasteWithPrice","willingToPayPremium","howMuchPremium","dishSoapPriceDifference","coffeePriceDifference","handSoapPriceDifference","toiletPaperPriceDifference","laundryPriceDifference","cleaningSprayPriceDifference","juicePriceDifference","ricePriceDifference","toothpastePriceDifference"
"y35awqk3wivvc4cxsqy35awqcja16ibw",2.63,0.61,8.51,4.64,6.3,0.77,0.66,0.66,9.31,3.25,2.32,2.32,4.62,2.23,3.85,2.54,5.41,3.09,0,"10p-50p",2.02,3.87,5.53,0,6.06,0,2.39,1.31,2.32
"56ypm6xg9ij569url156ypm25ruzgbcr",2.63,0.61,8.51,4.64,0.77,0.77,0.81,0.64,10.09,3.25,2.24,2.24,2.77,2.23,2.54,2.54,3.09,3.09,1,"£1-£2",2.02,3.87,0,0.17,6.84,0,0.54,0,0
"heljg6g5ql6xq4e4cnosheljg8rfi1l2",0.61,2.09,4.64,4.64,0.77,0.77,0.64,0.64,9.31,9.31,2.24,2.24,2.77,2.77,4.31,4.31,3.09,3.09,0,"50p-£1",-1.48,0,0,0,0,0,0,0,0
"38qr89d4sxh8i76gdfztr1838qr897j5",2.63,2.63,8.51,6.96,0.77,0.77,0.66,0.66,3.25,3.25,2.32,2.32,3.23,2.23,2.54,2,3.09,3.09,1,"50p-£1",0,1.55,0,0,0,0,1,0.54,0
"imnfvc3wtxxitjzim33z0i0txgg06xdh",2.63,2.63,6.96,6.96,6.3,2.71,0.66,0.66,9.31,9.31,2.32,2.32,3.23,3.23,3.85,3.85,5.41,5.41,1,"£1-£2",0,0,3.59,0,0,0,0,0,0
"rbowdygr2mjl96ip7brbowd1x20y64ot",2.09,2.09,8.51,4.64,0.77,0.77,0.64,0.64,9.31,3.25,3.1,2.24,2.77,2.77,3.85,2.54,3.09,3.09,1,"£1-£2",0,3.87,0,0,6.06,0.86,0,1.31,0
"rbxeh99umnul3ftmrbxeh834cwhp2mmt",2.09,0.61,8.51,4.64,0.77,0.77,0.81,0.64,9.31,3.25,2.24,2.24,3.23,2.23,3.85,2,3.09,0.66,0,"50p-£1",1.48,3.87,0,0.17,6.06,0,1,1.85,2.43
"usfac3bgpr7vibuausfuq6mr7jnqdmzv",2.63,2.63,7.89,4.64,6.3,0.77,0.81,0.64,10.09,3.25,3.85,2.32,2.77,2.77,4.31,2,5.41,0.66,1,"10p-50p",0,3.25,5.53,0.17,6.84,1.53,0,2.31,4.75
"zqlbjw6zdqn41tu8uzqlb0t8u75gwmv5",2.63,2.09,8.51,4.64,6.3,0.77,0.81,0.81,3.25,3.25,2.24,2.24,2.77,2.77,2.54,2.54,0.66,0.66,0,"£1-£2",0.54,3.87,5.53,0,0,0,0,0,0
"mabybovtozxqtmb8zfjmabybmg6qx688",2.09,2.63,8.51,4.64,0.77,0.77,0.64,0.64,9.31,3.25,2.32,2.24,2.77,2.77,3.85,2,3.09,3.09,1,"£1-£2",-0.54,3.87,0,0,6.06,0.0799999999999996,0,1.85,0
"l3og9uqt44vna469b0l3og9uqrivztzm",2.63,0.61,8.51,6.96,2.71,0.77,0.66,0.66,9.31,3.25,2.32,2.32,3.23,2.77,4.31,2,5.41,0.66,1,"£1-£2",2.02,1.55,1.94,0,6.06,0,0.46,2.31,4.75
"u5rlh4haw5p84meu5rlw0e41n0r9d5dg",2.63,2.63,8.51,6.96,2.71,2.71,0.66,0.66,10.09,10.09,2.32,2.32,3.23,3.23,3.85,3.85,5.41,5.41,1,"50p-£1",0,1.55,0,0,0,0,0,0,0
"0mrqqmjlz5rto12q8v0mrqqapkl6f4xy",2.09,0.61,4.64,4.64,0.77,0.77,0.81,0.81,9.31,3.25,2.24,2.24,3.23,2.23,2.54,2,3.09,0.66,0,"I would not be willing to pay extra",1.48,0,0,0,6.06,0,1,0.54,2.43
"79fo63dnp80dwreos79fo63vv0w5qowp",2.63,0.61,4.64,4.64,2.71,0.77,0.81,0.66,10.09,3.25,2.32,2.24,3.23,3.23,2.54,2,3.09,3.09,1,"£1-£2",2.02,0,1.94,0.15,6.84,0.0799999999999996,0,0.54,0
"9j0o48ekhbwkxsxqf0s9j0o48e5dyjpy",2.63,2.09,7.89,4.64,0.77,0.77,0.81,0.66,10.09,3.25,3.85,2.24,2.77,2.77,3.85,2,3.09,0.66,1,"10p-50p",0.54,3.25,0,0.15,6.84,1.61,0,1.85,2.43
"yzn1774a5dobaf92dryzn1780k2i80mz",2.63,0.61,8.51,6.96,0.77,0.77,0.66,0.66,3.25,3.25,2.32,2.32,3.23,2.23,3.85,2,5.41,0.66,1,"50p-£1",2.02,1.55,0,0,0,0,1,1.85,4.75
"ly76fcq6g0f3sxdnyry59v5ly76fcq7q",2.63,0.61,7.89,4.64,2.71,0.77,0.81,0.81,9.31,9.31,3.85,2.32,3.23,2.23,2.54,2.54,3.09,3.09,0,"I would not be willing to pay extra",2.02,3.25,1.94,0,0,1.53,1,0,0
"1pjvhel1ivjulnwj8ppn1pjvhel14j5h",2.63,0.61,6.96,4.64,2.71,0.77,0.64,0.64,10.09,3.25,2.32,2.24,2.77,2.77,4.31,2,3.09,0.66,0,"10p-50p",2.02,2.32,1.94,0,6.84,0.0799999999999996,0,2.31,2.43
"3012lbsncd02ru0s0oy3012lbydbv64j",2.09,0.61,6.96,4.64,2.71,0.77,0.81,0.64,3.25,3.25,3.1,2.24,2.77,2.77,4.31,4.31,0.66,0.66,0,"I would not be willing to pay extra",1.48,2.32,1.94,0.17,0,0.86,0,0,0
"o6gakr7hch7wxr62o6gakwab7q7nj534",0.61,0.61,8.51,4.64,0.77,0.77,0.64,0.64,3.25,3.25,3.1,2.32,3.23,2.23,3.85,2,3.09,3.09,0,"50p-£1",0,3.87,0,0,0,0.78,1,1.85,0
"2wrrf4tlgkvb12wr28tdh6ol9o9rvvcf",2.63,2.63,6.96,6.96,2.71,2.71,0.66,0.66,10.09,3.25,2.32,2.32,3.23,2.23,2.54,2,3.09,0.66,1,"50p-£1",0,0,0,0,6.84,0,1,0.54,2.43
"w0e547l3n21fyrk62mmw0e54uo5sx2hn",2.63,0.61,6.96,6.96,6.3,0.77,0.64,0.64,3.25,3.25,2.32,2.32,2.77,2.23,4.31,2,5.41,5.41,1,"£1-£2",2.02,0,5.53,0,0,0,0.54,2.31,0
"fzxqofjqpagf98fzxq79yvkaxzd8cby5",2.63,2.63,8.51,6.96,2.71,0.77,0.66,0.66,9.31,3.25,2.24,2.24,3.23,3.23,2.54,2.54,5.41,3.09,0,"50p-£1",0,1.55,1.94,0,6.06,0,0,0,2.32
"cw7j9rwwduecw7hpxtwg5zkpd145gej7",2.63,2.63,8.51,4.64,6.3,0.77,0.66,0.66,9.31,3.25,3.85,2.32,3.23,3.23,2.54,2.54,5.41,3.09,1,"£1-£2",0,3.87,5.53,0,6.06,1.53,0,0,2.32
"s7c9fjo3chyrs7c9ftwpyvz1aeff5izv",2.63,0.61,8.51,8.51,2.71,0.77,0.66,0.66,10.09,3.25,2.32,2.32,2.77,2.77,2,2,0.66,0.66,0,"I would not be willing to pay extra",2.02,0,1.94,0,6.84,0,0,0,0
"rigjnhkw8o7v6fb9srigjgj6owz98ly7",2.63,0.61,7.89,7.89,6.3,0.77,0.66,0.64,10.09,3.25,2.32,2.32,2.77,2.77,4.31,2,3.09,3.09,0,"10p-50p",2.02,0,5.53,0.02,6.84,0,0,2.31,0
"o3hjysnorkbjxztnjaaroo3hjysnossd",2.09,2.09,8.51,4.64,0.77,0.77,0.81,0.81,3.25,3.25,2.24,2.24,2.77,2.77,2.54,2,0.66,0.66,0,"I would not be willing to pay extra",0,3.87,0,0,0,0,0,0.54,0
"u71wzljvl6eya0nbzadzu71wx3x3hinx",2.63,2.63,7.89,4.64,2.71,0.77,0.66,0.66,10.09,10.09,2.32,2.32,3.23,2.23,2,2,5.41,3.09,1,"£1-£2",0,3.25,1.94,0,0,0,1,0,2.32
"igktwnoqixe3pfzigktwya62wsuu2fzh",2.63,2.63,8.51,8.51,6.3,6.3,0.81,0.81,9.31,9.31,2.24,2.24,3.23,3.23,3.85,3.85,3.09,3.09,1,"£2-£5",0,0,0,0,0,0,0,0,0
"56et319qgztmfh05i0z456et319kuuik",2.63,2.09,6.96,6.96,2.71,0.77,0.66,0.66,9.31,3.25,2.32,2.32,3.23,2.23,2.54,2.54,5.41,3.09,1,"50p-£1",0.54,0,1.94,0,6.06,0,1,0,2.32
"ifzjjph0m9vc56i177hlifzjh34q5fmp",2.63,2.09,8.51,4.64,6.3,0.77,0.81,0.66,9.31,3.25,3.1,2.24,2.77,2.23,4.31,2.54,5.41,0.66,0,"10p-50p",0.54,3.87,5.53,0.15,6.06,0.86,0.54,1.77,4.75
"9y6xzvsot8v9489cp9y6xzvsu8chp9a3",2.09,2.09,8.51,4.64,0.77,0.77,0.81,0.81,10.09,10.09,2.24,2.24,4.62,2.23,2,2,3.09,3.09,0,"50p-£1",0,3.87,0,0,0,0,2.39,0,0
